Code Domaine,Domaine,Code zone (FAO),Zone,Code ?l?ment,?l?ment,Code Produit,Produit,Code ann?e,Ann?e,Unit?,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5170","R?sidus","2734","Viande de Volailles","2019","2019","Milliers de tonnes","0","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5142","Nourriture","2734","Viande de Volailles","2015","2015","Milliers de tonnes","66","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5142","Nourriture","2734","Viande de Volailles","2016","2016","Milliers de tonnes","69","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5142","Nourriture","2734","Viande de Volailles","2017","2017","Milliers de tonnes","64","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5142","Nourriture","2734","Viande de Volailles","2018","2018","Milliers de tonnes","53","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5142","Nourriture","2734","Viande de Volailles","2019","2019","Milliers de tonnes","67","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","645","Disponibilit? alimentaire en quantit? (kg/personne/an)","2734","Viande de Volailles","2015","2015","kg","1.92","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","645","Disponibilit? alimentaire en quantit? (kg/personne/an)","2734","Viande de Volailles","2016","2016","kg","1.96","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","645","Disponibilit? alimentaire en quantit? (kg/personne/an)","2734","Viande de Volailles","2017","2017","kg","1.76","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","645","Disponibilit? alimentaire en quantit? (kg/personne/an)","2734","Viande de Volailles","2018","2018","kg","1.44","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","645","Disponibilit? alimentaire en quantit? (kg/personne/an)","2734","Viande de Volailles","2019","2019","kg","1.76","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","664","Disponibilit? alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2015","2015","Kcal/personne/jour","7","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","664","Disponibilit? alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2016","2016","Kcal/personne/jour","7","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","664","Disponibilit? alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2017","2017","Kcal/personne/jour","6","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","664","Disponibilit? alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2018","2018","Kcal/personne/jour","5","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","664","Disponibilit? alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2019","2019","Kcal/personne/jour","6","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2734","Viande de Volailles","2015","2015","g/personne/jour","0.69","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2734","Viande de Volailles","2016","2016","g/personne/jour","0.7","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2734","Viande de Volailles","2017","2017","g/personne/jour","0.63","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2734","Viande de Volailles","2018","2018","g/personne/jour","0.51","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2734","Viande de Volailles","2019","2019","g/personne/jour","0.63","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","684","Disponibilit? de mati?re grasse en quantit? (g/personne/jour)","2734","Viande de Volailles","2015","2015","g/personne/jour","0.42","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","684","Disponibilit? de mati?re grasse en quantit? (g/personne/jour)","2734","Viande de Volailles","2016","2016","g/personne/jour","0.42","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","684","Disponibilit? de mati?re grasse en quantit? (g/personne/jour)","2734","Viande de Volailles","2017","2017","g/personne/jour","0.38","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","684","Disponibilit? de mati?re grasse en quantit? (g/personne/jour)","2734","Viande de Volailles","2018","2018","g/personne/jour","0.31","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","684","Disponibilit? de mati?re grasse en quantit? (g/personne/jour)","2734","Viande de Volailles","2019","2019","g/personne/jour","0.38","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","5511","Production","2734","Viande de Volailles","2015","2015","Milliers de tonnes","1734","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","5511","Production","2734","Viande de Volailles","2016","2016","Milliers de tonnes","1685","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","5511","Production","2734","Viande de Volailles","2017","2017","Milliers de tonnes","1665","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
